,Average,Maximum,Minimum,Position,Round,Standard Deviation,Strategy
0,0.859919473528862,0.9834710955619812,0.6637167930603027,Pre,31,0.10054653302405127,centralround
1,0.9276353791356087,0.9834710955619812,0.8938053250312805,Post,31,0.027801657752992398,centralround
2,0.8574984222650528,0.9652777910232544,0.5045045018196106,Pre,31,0.13866239904805128,stdround
3,0.9152914434671402,0.9652777910232544,0.7657657861709595,Post,31,0.06107825754477498,stdround
4,0.7703564539551735,0.9503546357154846,0.4568965435028076,Pre,31,0.18372622135992264,stdround_p2p
5,0.9131331965327263,0.9432623982429504,0.8759689927101135,Post,31,0.02366719229914026,stdround_p2p
6,0.8761994689702988,0.9658119678497314,0.5897436141967773,Pre,31,0.11763555512762623,weightround
7,0.9322380796074867,0.9743589758872986,0.8794326186180115,Post,31,0.03046210629776388,weightround
8,0.808609277009964,0.9319728016853333,0.530434787273407,Pre,31,0.1329001250055094,weightround_p2p
9,0.9154825732111931,0.9507042169570923,0.843478262424469,Post,31,0.0321269739830158,weightround_p2p
10,0.879936933517456,0.9193548560142517,0.8362069129943848,Pre,31,0.02805182263692292,localround
11,0.8816730454564095,0.9193548560142517,0.8362069129943848,Post,31,0.02978778133276993,localround
